Handle,State,Party,Chamber
SenatorBaldwin,WI,D,Senate
SenJohnBarrasso,WY,R,Senate
SenatorBennet,CO,D,Senate
MarshaBlackburn,TN,R,Senate
SenBlumenthal,CT,D,Senate
RoyBlunt,MO,R,Senate
CoryBooker,NJ,D,Senate
JohnBoozman,AR,R,Senate
SenatorBraun,IN,R,Senate
SenSherrodBrown,OH,D,Senate
SenatorCantwell,WA,D,Senate
SenCapito,WV,R,Senate
SenatorCardin,MD,D,Senate
SenatorCarper,DE,D,Senate
SenBobCasey,PA,D,Senate
SenBillCassidy,LA,R,Senate
ChrisCoons,DE,D,Senate
JohnCornyn,TX,R,Senate
SenCortezMasto,NV,D,Senate
SenTomCotton,AR,R,Senate
SenKevinCramer,ND,R,Senate
MikeCrapo,ID,R,Senate
SenTedCruz,TX,R,Senate
SteveDaines,MT,R,Senate
SenDuckworth,IL,D,Senate
SenatorDurbin,IL,D,Senate
SenJoniErnst,IA,R,Senate
SenFeinstein,CA,D,Senate
SenatorFischer,NE,R,Senate
SenGillibrand,NY,D,Senate
LindseyGrahamSC,SC,R,Senate
ChuckGrassley,IA,R,Senate
SenatorHagerty,TN,R,Senate
SenatorHassan,NH,D,Senate
HawleyMO,MO,R,Senate
MartinHeinrich,NM,D,Senate
SenatorHick,CO,D,Senate
maziehirono,HI,D,Senate
SenJohnHoeven,ND,R,Senate
SenHydeSmith,MS,R,Senate
JimInhofe,OK,R,Senate
SenRonJohnson,WI,R,Senate
timkaine,VA,D,Senate
SenMarkKelly,AZ,D,Senate
SenJohnKennedy,LA,R,Senate
SenAngusKing,ME,I,Senate
SenAmyKlobuchar,MN,D,Senate
SenatorLankford,OK,R,Senate
SenatorLeahy,VT,D,Senate
SenMikeLee,UT,R,Senate
SenatorLujan,NM,D,Senate
SenLummis,WY,R,Senate
Sen_JoeManchin,WV,D,Senate
SenMarkey,MA,D,Senate
SenatorMenendez,NJ,D,Senate
SenJeffMerkley,OR,D,Senate
JerryMoran,KS,R,Senate
lisamurkowski,AK,R,Senate
ChrisMurphyCT,CT,D,Senate
PattyMurray,WA,D,Senate
ossoff,GA,D,Senate
SenAlexPadilla,CA,D,Senate
RandPaul,KY,R,Senate
SenGaryPeters,MI,D,Senate
senrobportman,OH,R,Senate
SenJackReed,RI,D,Senate
SenatorRisch,ID,R,Senate
SenatorRomney,UT,R,Senate
SenJackyRosen,NV,D,Senate
marcorubio,FL,R,Senate
SenSanders,VT,I,Senate
SenSchumer,NY,D,Senate
SenRickScott,FL,R,Senate
SenatorTimScott,SC,R,Senate
SenatorShaheen,NH,D,Senate
SenatorSinema,AZ,D,Senate
SenTinaSmith,MN,D,Senate
SenStabenow,MI,D,Senate
SenDanSullivan,AK,R,Senate
SenatorTester,MT,D,Senate
SenJohnThune,SD,R,Senate
SenThomTillis,NC,R,Senate
SenToomey,PA,R,Senate
SenTuberville,AL,R,Senate
ChrisVanHollen,MD,D,Senate
MarkWarner,VA,D,Senate
SenatorWarnock,GA,D,Senate
SenWarren,MA,D,Senate
SenWhitehouse,RI,D,Senate
SenatorWicker,MS,R,Senate
RonWyden,OR,D,Senate
SenToddYoung,IN,R,Senate
RepAdams,NC,D,House
Robert_Aderholt,AL,R,House
RepPeteAguilar,CA,D,House
RepRickAllen,GA,R,House
RepColinAllred,TX,D,House
RepArmstrongND,ND,R,House
RepArrington,TX,R,House
RepAuchincloss,MA,D,House
RepCindyAxne,IA,D,House
RepBrianBabin,TX,R,House
RepDonBacon,NE,R,House
RepJimBaird,IN,R,House
RepBalderson,OH,R,House
RepJimBanks,IN,R,House
RepAndyBarr,KY,R,House
RepBarragan,CA,D,House
RepKarenBass,CA,D,House
RepBeatty,OH,D,House
RepBera,CA,D,House
RepDonBeyer,VA,D,House
RepBice,OK,R,House
RepAndyBiggsAZ,AZ,R,House
RepGusBilirakis,FL,R,House
SanfordBishop,GA,D,House
RepDanBishop,NC,R,House
RepLBR,DE,D,House
RepBoebert,CO,R,House
RepBonamici,OR,D,House
RepBost,IL,R,House
