"","X","condition","dataset","sample","TNR","dbl_exp","dbl_act"
"1",1,"DoubletFinder","Jain et al.","1_DMSO_A",0.931488801054018,0.05,0.08
"2",2,"DoubletFinder","Jain et al.","1_DMSO_A",0.936758893280632,0.08,0.08
"3",3,"DoubletFinder","Jain et al.","1_DMSO_A",0.928853754940711,0.1,0.08
"4",4,"DoubletFinder","Jain et al.","1_DMSO_A",0.928853754940711,0.15,0.08
"5",5,"DoubletFinder","Jain et al.","1_DMSO_A",0.936758893280632,0.2,0.08
"6",6,"DoubletFinder","Jain et al.","1_DMSO_A",0.928853754940711,0.25,0.08
"7",7,"DoubletFinder","Jain et al.","2_DMSO_B",0.935103244837758,0.05,0.08
"8",8,"DoubletFinder","Jain et al.","2_DMSO_B",0.935103244837758,0.08,0.08
"9",9,"DoubletFinder","Jain et al.","2_DMSO_B",0.930678466076696,0.1,0.08
"10",10,"DoubletFinder","Jain et al.","2_DMSO_B",0.936578171091445,0.15,0.08
"11",11,"DoubletFinder","Jain et al.","2_DMSO_B",0.927728613569322,0.2,0.08
"12",12,"DoubletFinder","Jain et al.","2_DMSO_B",0.933628318584071,0.25,0.08
"13",13,"DoubletFinder","Jain et al.","3_LSD1i_A",0.923273657289003,0.05,0.08
"14",14,"DoubletFinder","Jain et al.","3_LSD1i_A",0.923273657289003,0.08,0.08
"15",15,"DoubletFinder","Jain et al.","3_LSD1i_A",0.923273657289003,0.1,0.08
"16",16,"DoubletFinder","Jain et al.","3_LSD1i_A",0.933503836317136,0.15,0.08
"17",17,"DoubletFinder","Jain et al.","3_LSD1i_A",0.930946291560102,0.2,0.08
"18",18,"DoubletFinder","Jain et al.","3_LSD1i_A",0.928388746803069,0.25,0.08
"19",19,"DoubletFinder","Jain et al.","4_LSD1i_B",0.930930930930931,0.05,0.08
"20",20,"DoubletFinder","Jain et al.","4_LSD1i_B",0.924924924924925,0.08,0.08
"21",21,"DoubletFinder","Jain et al.","4_LSD1i_B",0.927927927927928,0.1,0.08
"22",22,"DoubletFinder","Jain et al.","4_LSD1i_B",0.924924924924925,0.15,0.08
"23",23,"DoubletFinder","Jain et al.","4_LSD1i_B",0.921921921921922,0.2,0.08
"24",24,"DoubletFinder","Jain et al.","4_LSD1i_B",0.930930930930931,0.25,0.08
"25",25,"DoubletFinder","Jain et al.","5_DOT1Li_A",0.925925925925926,0.05,0.08
"26",26,"DoubletFinder","Jain et al.","5_DOT1Li_A",0.925925925925926,0.08,0.08
"27",27,"DoubletFinder","Jain et al.","5_DOT1Li_A",0.924074074074074,0.1,0.08
"28",28,"DoubletFinder","Jain et al.","5_DOT1Li_A",0.927777777777778,0.15,0.08
"29",29,"DoubletFinder","Jain et al.","5_DOT1Li_A",0.922222222222222,0.2,0.08
"30",30,"DoubletFinder","Jain et al.","5_DOT1Li_A",0.922222222222222,0.25,0.08
"31",31,"DoubletFinder","Jain et al.","6_DOT1Li_B",0.921348314606742,0.05,0.08
"32",32,"DoubletFinder","Jain et al.","6_DOT1Li_B",0.929775280898876,0.08,0.08
"33",33,"DoubletFinder","Jain et al.","6_DOT1Li_B",0.921348314606742,0.1,0.08
"34",34,"DoubletFinder","Jain et al.","6_DOT1Li_B",0.921348314606742,0.15,0.08
"35",35,"DoubletFinder","Jain et al.","6_DOT1Li_B",0.932584269662921,0.2,0.08
"36",36,"DoubletFinder","Jain et al.","6_DOT1Li_B",0.926966292134832,0.25,0.08
"37",37,"DoubletFinder","CellTag-multi","B4D21-RNA-r2-1",0.935817805383023,0.05,0.08
"38",38,"DoubletFinder","CellTag-multi","B4D21-RNA-r2-1",0.934930493936705,0.08,0.08
"39",39,"DoubletFinder","CellTag-multi","B4D21-RNA-r2-1",0.934930493936705,0.1,0.08
"40",40,"DoubletFinder","CellTag-multi","B4D21-RNA-r2-1",0.935817805383023,0.15,0.08
"41",41,"DoubletFinder","CellTag-multi","B4D21-RNA-r2-1",0.934930493936705,0.2,0.08
"42",42,"DoubletFinder","CellTag-multi","B4D21-RNA-r2-1",0.934930493936705,0.25,0.08
"43",43,"DoubletFinder","CellTag-multi","d2-RNA-5",0.94413407821229,0.05,0.08
"44",44,"DoubletFinder","CellTag-multi","d2-RNA-5",0.940941739824421,0.08,0.08
"45",45,"DoubletFinder","CellTag-multi","d2-RNA-5",0.942537909018356,0.1,0.08
"46",46,"DoubletFinder","CellTag-multi","d2-RNA-5",0.942537909018356,0.15,0.08
"47",47,"DoubletFinder","CellTag-multi","d2-RNA-5",0.943335993615323,0.2,0.08
"48",48,"DoubletFinder","CellTag-multi","d2-RNA-5",0.943335993615323,0.25,0.08
"49",49,"DoubletFinder","ClonMapper","FM1",0.945026178010471,0.05,0.08
"50",50,"DoubletFinder","ClonMapper","FM1",0.945026178010471,0.08,0.08
"51",51,"DoubletFinder","ClonMapper","FM1",0.93717277486911,0.1,0.08
"52",52,"DoubletFinder","ClonMapper","FM1",0.944735311227458,0.15,0.08
"53",53,"DoubletFinder","ClonMapper","FM1",0.945026178010471,0.2,0.08
"54",54,"DoubletFinder","ClonMapper","FM1",0.945026178010471,0.25,0.08
"55",55,"DoubletFinder","ClonMapper","FM7",0.943961352657005,0.05,0.08
"56",56,"DoubletFinder","ClonMapper","FM7",0.947101449275362,0.08,0.08
"57",57,"DoubletFinder","ClonMapper","FM7",0.943961352657005,0.1,0.08
"58",58,"DoubletFinder","ClonMapper","FM7",0.938405797101449,0.15,0.08
"59",59,"DoubletFinder","ClonMapper","FM7",0.943961352657005,0.2,0.08
"60",60,"DoubletFinder","ClonMapper","FM7",0.938405797101449,0.25,0.08
"61",61,"DoubletFinder","ClonMapper","TP0",0.94214259051885,0.05,0.08
"62",62,"DoubletFinder","ClonMapper","TP0",0.94214259051885,0.08,0.08
"63",63,"DoubletFinder","ClonMapper","TP0",0.94214259051885,0.1,0.08
"64",64,"DoubletFinder","ClonMapper","TP0",0.945128779395297,0.15,0.08
"65",65,"DoubletFinder","ClonMapper","TP0",0.94214259051885,0.2,0.08
"66",66,"DoubletFinder","ClonMapper","TP0",0.94214259051885,0.25,0.08
"67",67,"DoubletFinder","ClonMapper","TP0_5",0.945224968877823,0.05,0.08
"68",68,"DoubletFinder","ClonMapper","TP0_5",0.945224968877823,0.08,0.08
"69",69,"DoubletFinder","ClonMapper","TP0_5",0.952516450293438,0.1,0.08
"70",70,"DoubletFinder","ClonMapper","TP0_5",0.952516450293438,0.15,0.08
"71",71,"DoubletFinder","ClonMapper","TP0_5",0.952516450293438,0.2,0.08
"72",72,"DoubletFinder","ClonMapper","TP0_5",0.954472701404944,0.25,0.08
"73",73,"DoubletFinder","Goyal et al. 1","sample1",0.934394071490846,0.05,0.08
"74",74,"DoubletFinder","Goyal et al. 1","sample1",0.944202266782912,0.08,0.08
"75",75,"DoubletFinder","Goyal et al. 1","sample1",0.934394071490846,0.1,0.08
"76",76,"DoubletFinder","Goyal et al. 1","sample1",0.934394071490846,0.15,0.08
"77",77,"DoubletFinder","Goyal et al. 1","sample1",0.934394071490846,0.2,0.08
"78",78,"DoubletFinder","Goyal et al. 1","sample1",0.934394071490846,0.25,0.08
"79",79,"DoubletFinder","Goyal et al. 1","sample2",0.938851429900023,0.05,0.08
"80",80,"DoubletFinder","Goyal et al. 1","sample2",0.942338990932341,0.08,0.08
"81",81,"DoubletFinder","Goyal et al. 1","sample2",0.938851429900023,0.1,0.08
"82",82,"DoubletFinder","Goyal et al. 1","sample2",0.942338990932341,0.15,0.08
"83",83,"DoubletFinder","Goyal et al. 1","sample2",0.942338990932341,0.2,0.08
"84",84,"DoubletFinder","Goyal et al. 1","sample2",0.941408974657057,0.25,0.08
"85",85,"DoubletFinder","Goyal et al. 1","sample3",0.94742586865563,0.05,0.08
"86",86,"DoubletFinder","Goyal et al. 1","sample3",0.947062033836638,0.08,0.08
"87",87,"DoubletFinder","Goyal et al. 1","sample3",0.935965071857377,0.1,0.08
"88",88,"DoubletFinder","Goyal et al. 1","sample3",0.946698199017646,0.15,0.08
"89",89,"DoubletFinder","Goyal et al. 1","sample3",0.946698199017646,0.2,0.08
"90",90,"DoubletFinder","Goyal et al. 1","sample3",0.946698199017646,0.25,0.08
"91",91,"DoubletFinder","Goyal et al. 1","sample4",0.936404931862427,0.05,0.08
"92",92,"DoubletFinder","Goyal et al. 1","sample4",0.936404931862427,0.08,0.08
"93",93,"DoubletFinder","Goyal et al. 1","sample4",0.937378325762492,0.1,0.08
"94",94,"DoubletFinder","Goyal et al. 1","sample4",0.936404931862427,0.15,0.08
"95",95,"DoubletFinder","Goyal et al. 1","sample4",0.936404931862427,0.2,0.08
"96",96,"DoubletFinder","Goyal et al. 1","sample4",0.937378325762492,0.25,0.08
"97",97,"DoubletFinder","Goyal et al. 2","1-1uMPLX",0.947517999242137,0.05,0.08
"98",98,"DoubletFinder","Goyal et al. 2","1-1uMPLX",0.945812807881773,0.08,0.08
"99",99,"DoubletFinder","Goyal et al. 2","1-1uMPLX",0.94732853353543,0.1,0.08
"100",100,"DoubletFinder","Goyal et al. 2","1-1uMPLX",0.94732853353543,0.15,0.08
"101",101,"DoubletFinder","Goyal et al. 2","1-1uMPLX",0.943728685107995,0.2,0.08
"102",102,"DoubletFinder","Goyal et al. 2","1-1uMPLX",0.94732853353543,0.25,0.08
"103",103,"DoubletFinder","Goyal et al. 2","2-100nMPLX",0.940622972096042,0.05,0.08
"104",104,"DoubletFinder","Goyal et al. 2","2-100nMPLX",0.943705386112914,0.08,0.08
"105",105,"DoubletFinder","Goyal et al. 2","2-100nMPLX",0.942731992212849,0.1,0.08
"106",106,"DoubletFinder","Goyal et al. 2","2-100nMPLX",0.943705386112914,0.15,0.08
"107",107,"DoubletFinder","Goyal et al. 2","2-100nMPLX",0.942731992212849,0.2,0.08
"108",108,"DoubletFinder","Goyal et al. 2","2-100nMPLX",0.940460739779364,0.25,0.08
