"","X","dataset","sample","condition","auprc","auroc","dbl_act","isBarcoded","TNR"
"1",1,"Jain et al.","1_DMSO_A","DoubletFinder",0.178563957295622,0.706881063600431,0.08,"Barcoded",0.931927975406236
"2",2,"Jain et al.","2_DMSO_B","DoubletFinder",0.202027089060359,0.721426428678566,0.08,"Barcoded",0.933136676499508
"3",3,"Jain et al.","3_LSD1i_A","DoubletFinder",0.187261326956338,0.660830700566672,0.08,"Barcoded",0.927109974424553
"4",4,"Jain et al.","4_LSD1i_B","DoubletFinder",0.15686817989805,0.642789341065203,0.08,"Barcoded",0.926926926926927
"5",5,"Jain et al.","5_DOT1Li_A","DoubletFinder",0.154763565687014,0.677275413711584,0.08,"Barcoded",0.924691358024691
"6",6,"Jain et al.","6_DOT1Li_B","DoubletFinder",0.135720023321009,0.687213060287544,0.08,"Barcoded",0.925561797752809
"7",7,"Jain et al.","1_DMSO_A","hybrid",0.229813424405946,0.785366843667239,0.08,"Barcoded",0.935002195871761
"8",8,"Jain et al.","2_DMSO_B","hybrid",0.231780649835205,0.796914320950619,0.08,"Barcoded",0.931661750245821
"9",9,"Jain et al.","3_LSD1i_A","hybrid",0.228117742894811,0.745699814452635,0.08,"Barcoded",0.931798806479114
"10",10,"Jain et al.","4_LSD1i_B","hybrid",0.173125109103426,0.739411825618722,0.08,"Barcoded",0.932432432432433
"11",11,"Jain et al.","5_DOT1Li_A","hybrid",0.251444520103842,0.750269240872078,0.08,"Barcoded",0.935185185185185
"12",12,"Jain et al.","6_DOT1Li_B","hybrid",0.192892901014524,0.774193548387097,0.08,"Barcoded",0.933988764044944
"13",13,"Jain et al.","1_DMSO_A","scDblFinder",0.133380438936641,0.691809398331138,0.08,"Barcoded",0.925779534475186
"14",14,"Jain et al.","2_DMSO_B","scDblFinder",0.117131659374164,0.597047230971785,0.08,"Barcoded",0.925516224188791
"15",15,"Jain et al.","3_LSD1i_A","scDblFinder",0.123166623410706,0.623050498971967,0.08,"Barcoded",0.924978687127025
"16",16,"Jain et al.","4_LSD1i_B","scDblFinder",0.100328417243578,0.608177142659901,0.08,"Barcoded",0.924424424424424
"17",17,"Jain et al.","5_DOT1Li_A","scDblFinder",0.145131730854607,0.711006041502496,0.08,"Barcoded",0.929012345679012
"18",18,"Jain et al.","6_DOT1Li_B","scDblFinder",0.232096912325351,0.771475172163828,0.08,"Barcoded",0.942415730337078
"19",19,"Jain et al.","1_DMSO_A","Scrublet",0.203982551510881,0.765056808430302,0.08,"Barcoded",0.940874609549308
"20",20,"Jain et al.","2_DMSO_B","Scrublet",0.162742988783213,0.706008449577521,0.08,"Barcoded",0.93756145526057
"21",21,"Jain et al.","3_LSD1i_A","Scrublet",0.131609289699233,0.67844673649423,0.08,"Barcoded",0.931398416886543
"22",22,"Jain et al.","4_LSD1i_B","Scrublet",0.0918306214215087,0.554403283052351,0.08,"Barcoded",0.924948240165632
"23",23,"Jain et al.","5_DOT1Li_A","Scrublet",0.148682480559321,0.624714342001576,0.08,"Barcoded",0.934876543209876
"24",24,"Jain et al.","6_DOT1Li_B","Scrublet",0.258930064679944,0.725738492207321,0.08,"Barcoded",0.948033707865168
"25",25,"ClonMapper","FM1","DoubletFinder",0.343651302434917,0.816725634475464,0.08,"Barcoded",0.943668799689742
"26",26,"ClonMapper","FM7","DoubletFinder",0.34794776646488,0.820713622741098,0.08,"Barcoded",0.942632850241546
"27",27,"ClonMapper","TP0","DoubletFinder",0.362766143484687,0.81577265234129,0.08,"Barcoded",0.942640288664924
"28",28,"ClonMapper","TP0_5","DoubletFinder",0.444110517216128,0.854706440499453,0.08,"Barcoded",0.950411998340151
"29",29,"ClonMapper","FM1","hybrid",0.235323780907737,0.797226453896156,0.08,"Barcoded",0.934651929416327
"30",30,"ClonMapper","FM7","hybrid",0.301594267343412,0.849136361603149,0.08,"Barcoded",0.941264090177134
"31",31,"ClonMapper","TP0","hybrid",0.30357608339615,0.832834567165486,0.08,"Barcoded",0.940214010202812
"32",32,"ClonMapper","TP0_5","hybrid",0.324392178653159,0.83792865047768,0.08,"Barcoded",0.942468433220701
"33",33,"ClonMapper","FM1","scDblFinder",0.0833326282211341,0.515708914013034,0.08,"Barcoded",0.920738801628854
"34",34,"ClonMapper","FM7","scDblFinder",0.0894879742047842,0.556235574342459,0.08,"Barcoded",0.921054750402577
"35",35,"ClonMapper","TP0","scDblFinder",0.0892066171435235,0.542572015373106,0.08,"Barcoded",0.921363692920244
"36",36,"ClonMapper","TP0_5","scDblFinder",0.0986850470071314,0.442020618161774,0.08,"Barcoded",0.92681842432865
"37",37,"ClonMapper","FM1","Scrublet",0.318656103262853,0.816024652013726,0.08,"Barcoded",0.946092689548187
"38",38,"ClonMapper","FM7","Scrublet",0.304162749903528,0.791065488850741,0.08,"Barcoded",0.94593830749354
"39",39,"ClonMapper","TP0","Scrublet",0.395031898946101,0.837851144470868,0.08,"Barcoded",0.954647676161919
"40",40,"ClonMapper","TP0_5","Scrublet",0.338129992509468,0.82561001941585,0.08,"Barcoded",0.948740793537657
"41",41,"Goyal et al. 1","sample1","DoubletFinder",0.22835204796159,0.709063143910342,0.08,"Barcoded",0.93602877070619
"42",42,"Goyal et al. 1","sample2","DoubletFinder",0.307238189997834,0.779006074116992,0.08,"Barcoded",0.941021467875688
"43",43,"Goyal et al. 1","sample3","DoubletFinder",0.357990356245327,0.823922754620309,0.08,"Barcoded",0.94509126190043
"44",44,"Goyal et al. 1","sample4","DoubletFinder",0.250219289735347,0.741426909902144,0.08,"Barcoded",0.936729396495782
"45",45,"Goyal et al. 1","sample1","hybrid",0.359401141997702,0.843521456212458,0.08,"Barcoded",0.948198198198198
"46",46,"Goyal et al. 1","sample2","hybrid",0.385374149042114,0.803712998801008,0.08,"Barcoded",0.948655351468651
"47",47,"Goyal et al. 1","sample3","hybrid",0.270124261609406,0.785787556493982,0.08,"Barcoded",0.940179491844036
"48",48,"Goyal et al. 1","sample4","hybrid",0.338870167503709,0.812806707862375,0.08,"Barcoded",0.945652173913043
"49",49,"Goyal et al. 1","sample1","scDblFinder",0.249476710793554,0.753952412271597,0.08,"Barcoded",0.940278988666086
"50",50,"Goyal et al. 1","sample2","scDblFinder",0.31389452361737,0.771726282616363,0.08,"Barcoded",0.946601565527397
"51",51,"Goyal et al. 1","sample3","scDblFinder",0.150172088695802,0.672404835248033,0.08,"Barcoded",0.931265538778728
"52",52,"Goyal et al. 1","sample4","scDblFinder",0.340019943512424,0.784043462925476,0.08,"Barcoded",0.947707116590959
"53",53,"Goyal et al. 1","sample1","Scrublet",0.398199034583128,0.822142492741912,0.08,"Barcoded",0.950331366979827
"54",54,"Goyal et al. 1","sample2","Scrublet",0.378966030046311,0.812069489649832,0.08,"Barcoded",0.950104919561669
"55",55,"Goyal et al. 1","sample3","Scrublet",0.304432503251905,0.795389719882763,0.08,"Barcoded",0.945183834700699
"56",56,"Goyal et al. 1","sample4","Scrublet",0.332647047538912,0.804456485418462,0.08,"Barcoded",0.945814406229721
"57",57,"Goyal et al. 2","1-1uMPLX","DoubletFinder",0.349248323905273,0.831778084060031,0.08,"Barcoded",0.946507515473032
"58",58,"Goyal et al. 2","2-100nMPLX","DoubletFinder",0.281798328826019,0.818431089402114,0.08,"Barcoded",0.942326411421155
"59",59,"Goyal et al. 2","3-5nMT","DoubletFinder",0.275676844233031,0.773648776064549,0.08,"Barcoded",0.939669872450719
"60",60,"Goyal et al. 2","4-5nMT100nMP","DoubletFinder",0.349966327528338,0.813761138287195,0.08,"Barcoded",0.947919262397209
"61",61,"Goyal et al. 2","1-1uMPLX","hybrid",0.317649141730368,0.838016658672507,0.08,"Barcoded",0.945275988379437
"62",62,"Goyal et al. 2","2-100nMPLX","hybrid",0.287587326149819,0.811922501380186,0.08,"Barcoded",0.939703655634869
"63",63,"Goyal et al. 2","3-5nMT","hybrid",0.34975118955912,0.843269578754358,0.08,"Barcoded",0.943148489189005
"64",64,"Goyal et al. 2","4-5nMT100nMP","hybrid",0.377585700535904,0.83813708598916,0.08,"Barcoded",0.945178170944431
"65",65,"Goyal et al. 2","1-1uMPLX","scDblFinder",0.140718757919884,0.650801012024812,0.08,"Barcoded",0.933529114563597
"66",66,"Goyal et al. 2","2-100nMPLX","scDblFinder",0.0924398194649792,0.539707570195744,0.08,"Barcoded",0.924724205061648
"67",67,"Goyal et al. 2","3-5nMT","scDblFinder",0.0942388113044475,0.491530310507669,0.08,"Barcoded",0.927426505695382
"68",68,"Goyal et al. 2","4-5nMT100nMP","scDblFinder",0.134464131752238,0.57001296645501,0.08,"Barcoded",0.933300107982391
"69",69,"Goyal et al. 2","1-1uMPLX","Scrublet",0.393184192434918,0.851149232657008,0.08,"Barcoded",0.95124415814071
"70",70,"Goyal et al. 2","2-100nMPLX","Scrublet",0.283975942503174,0.818717997455939,0.08,"Barcoded",0.942623837335064
"71",71,"Goyal et al. 2","3-5nMT","Scrublet",0.358952524269849,0.837361146218258,0.08,"Barcoded",0.951333469749676
"72",72,"Goyal et al. 2","4-5nMT100nMP","Scrublet",0.37012581522271,0.836414647082589,0.08,"Barcoded",0.950274862568716
"73",73,"Goyal et al. 3","DMSO-FM3-1uMPLX","DoubletFinder",0.271997540531871,0.808214337310142,0.08,"Barcoded",0.937245618406845
"74",74,"Goyal et al. 3","DOT1Li-FM3-1uMPLX","DoubletFinder",0.325366296245126,0.8351946111399,0.08,"Barcoded",0.942739414606423
"75",75,"Goyal et al. 3","DMSO-FM3-1uMPLX","hybrid",0.327779178742259,0.825956996018908,0.08,"Barcoded",0.94276933300108
"76",76,"Goyal et al. 3","DOT1Li-FM3-1uMPLX","hybrid",0.336596396452212,0.84928734210365,0.08,"Barcoded",0.942313157146917
